iter	Passed	Remaining
0	3	340
1	6	316
2	9	298
3	11	276
4	14	273
5	17	270
6	20	270
7	23	271
8	26	270
9	29	268
10	32	264
11	35	260
12	38	259
13	41	257
14	44	253
15	47	249
16	50	246
17	53	243
18	56	240
19	59	237
20	62	234
21	65	232
22	68	230
23	71	227
24	74	223
25	77	220
26	80	217
27	83	215
28	86	211
29	89	208
30	92	205
31	95	202
32	98	199
33	101	196
34	104	194
35	107	191
36	110	188
37	114	186
38	117	183
39	119	179
40	122	176
41	124	171
42	127	168
43	130	165
44	132	162
45	135	159
46	138	156
47	142	153
48	145	151
49	148	148
50	151	145
51	154	142
52	157	139
53	159	136
54	160	131
55	162	128
56	164	124
57	167	120
58	168	117
59	170	113
60	172	109
61	173	106
62	175	102
63	176	99
64	177	95
65	178	92
66	180	88
67	181	85
68	182	82
69	183	78
70	184	75
71	186	72
72	187	69
73	188	66
74	189	63
75	190	60
76	191	57
77	192	54
78	193	51
79	194	48
80	195	45
81	196	43
82	198	40
83	199	37
84	200	35
85	201	32
86	202	30
87	203	27
88	204	25
89	205	22
90	206	20
91	207	18
92	208	15
93	209	13
94	211	11
95	212	8
96	213	6
97	214	4
98	215	2
99	216	0
