iter	Passed	Remaining
0	204	204663
1	209	104696
2	213	70975
3	217	54138
4	220	43891
5	225	37393
6	229	32557
7	233	28915
8	237	26204
9	241	23955
10	245	22071
11	250	20610
12	254	19290
13	257	18154
14	261	17148
15	267	16448
16	271	15721
17	275	15024
18	280	14457
19	284	13927
20	288	13433
21	291	12964
22	296	12588
23	299	12181
24	302	11797
25	305	11444
26	309	11168
27	313	10882
28	316	10611
29	320	10351
30	324	10154
31	328	9925
32	331	9706
33	334	9497
34	337	9317
35	341	9139
36	344	8966
37	347	8806
38	351	8667
39	355	8522
40	358	8384
41	361	8247
42	364	8121
43	368	8010
44	371	7883
45	374	7773
46	377	7663
47	382	7577
48	385	7477
49	388	7388
50	394	7333
51	397	7248
52	400	7161
53	403	7076
54	407	7007
55	411	6932
56	414	6855
57	417	6779
58	420	6706
59	423	6639
60	427	6574
61	430	6507
62	433	6449
63	437	6391
64	439	6328
65	443	6272
66	446	6224
67	450	6174
68	453	6125
69	456	6070
70	460	6021
71	463	5970
72	467	5932
73	470	5892
74	474	5846
75	477	5803
76	481	5776
77	485	5739
78	489	5702
79	492	5662
80	496	5638
81	500	5603
82	502	5548
83	505	5514
84	508	5477
85	512	5449
86	516	5415
87	519	5379
88	522	5349
89	526	5324
90	530	5294
91	533	5263
92	536	5231
93	540	5208
94	544	5185
95	547	5157
96	551	5129
97	556	5121
98	559	5094
99	562	5065
100	571	5085
101	577	5080
102	582	5068
103	588	5069
104	594	5066
105	606	5117
106	609	5088
107	613	5063
108	617	5044
109	619	5008
110	621	4975
111	624	4948
112	625	4910
113	627	4876
114	628	4839
115	630	4808
116	632	4774
117	633	4738
118	635	4702
119	636	4667
120	637	4632
121	638	4596
122	639	4562
123	641	4529
124	642	4496
125	644	4471
126	645	4439
127	647	4414
128	649	4385
129	651	4359
130	652	4330
131	654	4300
132	655	4270
133	657	4247
134	660	4229
135	661	4202
136	662	4175
137	664	4149
138	665	4124
139	667	4098
140	668	4072
141	669	4044
142	670	4019
143	672	3999
144	675	3980
145	676	3955
146	677	3930
147	678	3906
148	679	3882
149	681	3859
150	682	3836
151	683	3814
152	684	3790
153	685	3767
154	687	3750
